Split;Target;Model;ROC-AUC;Balanced Accuracy;F1-Score;Average Precision
test;Daytime Dozing;Extra Trees;0.567 ± 0.012;0.5 ± 0.0;0.0 ± 0.0;0.278 ± 0.01
test;Daytime Dozing;Linear SVM;0.59 ± 0.008;0.5 ± 0.001;0.002 ± 0.002;0.297 ± 0.009
test;Daytime Dozing;Random Forest;0.565 ± 0.012;0.5 ± 0.001;0.003 ± 0.003;0.278 ± 0.009
test;Daytime Dozing;Linear SVM (Heuristic C);0.59 ± 0.008;0.5 ± 0.0;0.0 ± 0.0;0.297 ± 0.009
test;Daytime Dozing;Logit (Heuristic C);0.59 ± 0.008;0.5 ± 0.0;0.0 ± 0.001;0.297 ± 0.009
test;Daytime Dozing;Stacked;0.602 ± 0.009;0.501 ± 0.001;0.004 ± 0.003;0.309 ± 0.011
test;Morning/Evening;Extra Trees;0.536 ± 0.018;0.5 ± 0.001;0.001 ± 0.002;0.284 ± 0.013
test;Morning/Evening;Linear SVM;0.55 ± 0.017;0.5 ± 0.001;0.004 ± 0.005;0.289 ± 0.014
test;Morning/Evening;Random Forest;0.536 ± 0.016;0.501 ± 0.001;0.005 ± 0.005;0.284 ± 0.013
test;Morning/Evening;Linear SVM (Heuristic C);0.549 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.289 ± 0.014
test;Morning/Evening;Logit (Heuristic C);0.549 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.289 ± 0.014
test;Morning/Evening;Stacked;0.555 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.297 ± 0.014
test;Getting up;Extra Trees;0.619 ± 0.016;0.501 ± 0.001;0.006 ± 0.003;0.346 ± 0.015
test;Getting up;Linear SVM;0.636 ± 0.016;0.528 ± 0.006;0.149 ± 0.019;0.363 ± 0.017
test;Getting up;Random Forest;0.616 ± 0.018;0.504 ± 0.002;0.026 ± 0.009;0.343 ± 0.015
test;Getting up;Linear SVM (Heuristic C);0.636 ± 0.016;0.501 ± 0.001;0.007 ± 0.004;0.363 ± 0.017
test;Getting up;Logit (Heuristic C);0.637 ± 0.016;0.505 ± 0.003;0.029 ± 0.012;0.363 ± 0.016
test;Getting up;Stacked;0.65 ± 0.017;0.507 ± 0.003;0.041 ± 0.011;0.372 ± 0.018
test;Nap during day;Extra Trees;0.648 ± 0.014;0.5 ± 0.0;0.0 ± 0.0;0.157 ± 0.013
test;Nap during day;Linear SVM;0.682 ± 0.016;0.5 ± 0.0;0.0 ± 0.0;0.174 ± 0.019
test;Nap during day;Random Forest;0.633 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.148 ± 0.011
test;Nap during day;Linear SVM (Heuristic C);0.682 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.174 ± 0.019
test;Nap during day;Logit (Heuristic C);0.682 ± 0.017;0.5 ± 0.0;0.0 ± 0.0;0.175 ± 0.019
test;Nap during day;Stacked;0.705 ± 0.017;0.501 ± 0.001;0.003 ± 0.004;0.192 ± 0.016
test;Sleeplesness/Insomnia;Extra Trees;0.576 ± 0.008;0.529 ± 0.006;0.721 ± 0.005;0.652 ± 0.008
test;Sleeplesness/Insomnia;Linear SVM;0.601 ± 0.011;0.559 ± 0.008;0.698 ± 0.008;0.67 ± 0.011
test;Sleeplesness/Insomnia;Random Forest;0.578 ± 0.008;0.533 ± 0.008;0.713 ± 0.006;0.655 ± 0.008
test;Sleeplesness/Insomnia;Linear SVM (Heuristic C);0.601 ± 0.011;0.546 ± 0.007;0.724 ± 0.005;0.67 ± 0.012
test;Sleeplesness/Insomnia;Logit (Heuristic C);0.602 ± 0.011;0.547 ± 0.007;0.721 ± 0.006;0.67 ± 0.012
test;Sleeplesness/Insomnia;Stacked;0.605 ± 0.01;0.544 ± 0.007;0.724 ± 0.006;0.673 ± 0.011
test;Sleep Duration;Extra Trees;0.562 ± 0.013;0.524 ± 0.006;0.734 ± 0.004;0.639 ± 0.012
test;Sleep Duration;Linear SVM;0.579 ± 0.013;0.547 ± 0.006;0.717 ± 0.007;0.653 ± 0.012
test;Sleep Duration;Random Forest;0.56 ± 0.012;0.527 ± 0.006;0.725 ± 0.004;0.638 ± 0.009
test;Sleep Duration;Linear SVM (Heuristic C);0.58 ± 0.013;0.531 ± 0.005;0.734 ± 0.005;0.653 ± 0.012
test;Sleep Duration;Logit (Heuristic C);0.579 ± 0.013;0.533 ± 0.005;0.732 ± 0.005;0.654 ± 0.011
test;Sleep Duration;Stacked;0.584 ± 0.011;0.531 ± 0.006;0.737 ± 0.006;0.657 ± 0.009
test;Snoring;Extra Trees;0.561 ± 0.009;0.506 ± 0.002;0.057 ± 0.008;0.412 ± 0.007
test;Snoring;Linear SVM;0.584 ± 0.011;0.519 ± 0.005;0.169 ± 0.016;0.432 ± 0.012
test;Snoring;Random Forest;0.56 ± 0.009;0.509 ± 0.003;0.098 ± 0.01;0.41 ± 0.008
test;Snoring;Linear SVM (Heuristic C);0.584 ± 0.011;0.509 ± 0.002;0.076 ± 0.012;0.432 ± 0.011
test;Snoring;Logit (Heuristic C);0.584 ± 0.011;0.51 ± 0.002;0.088 ± 0.013;0.432 ± 0.012
test;Snoring;Stacked;0.603 ± 0.011;0.518 ± 0.004;0.138 ± 0.015;0.447 ± 0.011
train;Daytime Dozing;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Daytime Dozing;Linear SVM;0.596 ± 0.002;0.5 ± 0.0;0.002 ± 0.001;0.301 ± 0.002
train;Daytime Dozing;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Daytime Dozing;Linear SVM (Heuristic C);0.596 ± 0.002;0.5 ± 0.0;0.0 ± 0.0;0.301 ± 0.002
train;Daytime Dozing;Logit (Heuristic C);0.596 ± 0.002;0.5 ± 0.0;0.001 ± 0.0;0.301 ± 0.002
train;Daytime Dozing;Stacked;0.613 ± 0.002;0.501 ± 0.0;0.005 ± 0.002;0.318 ± 0.003
train;Morning/Evening;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Morning/Evening;Linear SVM;0.57 ± 0.005;0.501 ± 0.001;0.006 ± 0.005;0.302 ± 0.004
train;Morning/Evening;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Morning/Evening;Linear SVM (Heuristic C);0.57 ± 0.005;0.5 ± 0.0;0.0 ± 0.0;0.302 ± 0.004
train;Morning/Evening;Logit (Heuristic C);0.57 ± 0.005;0.5 ± 0.0;0.0 ± 0.0;0.302 ± 0.004
train;Morning/Evening;Stacked;0.598 ± 0.007;0.5 ± 0.0;0.0 ± 0.0;0.333 ± 0.005
train;Getting up;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Getting up;Linear SVM;0.643 ± 0.004;0.53 ± 0.004;0.155 ± 0.014;0.368 ± 0.004
train;Getting up;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Getting up;Linear SVM (Heuristic C);0.643 ± 0.004;0.501 ± 0.001;0.008 ± 0.003;0.368 ± 0.004
train;Getting up;Logit (Heuristic C);0.643 ± 0.004;0.505 ± 0.002;0.031 ± 0.008;0.368 ± 0.004
train;Getting up;Stacked;0.664 ± 0.004;0.509 ± 0.002;0.048 ± 0.01;0.386 ± 0.005
train;Nap during day;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Nap during day;Linear SVM;0.691 ± 0.004;0.5 ± 0.0;0.0 ± 0.0;0.177 ± 0.004
train;Nap during day;Random Forest;1.0 ± 0.0;0.999 ± 0.001;0.999 ± 0.001;1.0 ± 0.0
train;Nap during day;Linear SVM (Heuristic C);0.691 ± 0.004;0.5 ± 0.0;0.0 ± 0.0;0.177 ± 0.004
train;Nap during day;Logit (Heuristic C);0.691 ± 0.004;0.5 ± 0.0;0.0 ± 0.0;0.177 ± 0.004
train;Nap during day;Stacked;0.719 ± 0.004;0.501 ± 0.0;0.004 ± 0.002;0.202 ± 0.004
train;Sleeplesness/Insomnia;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleeplesness/Insomnia;Linear SVM;0.608 ± 0.003;0.563 ± 0.003;0.701 ± 0.002;0.675 ± 0.003
train;Sleeplesness/Insomnia;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleeplesness/Insomnia;Linear SVM (Heuristic C);0.608 ± 0.003;0.548 ± 0.003;0.725 ± 0.001;0.675 ± 0.003
train;Sleeplesness/Insomnia;Logit (Heuristic C);0.608 ± 0.003;0.551 ± 0.003;0.723 ± 0.002;0.675 ± 0.003
train;Sleeplesness/Insomnia;Stacked;0.617 ± 0.002;0.548 ± 0.003;0.727 ± 0.002;0.683 ± 0.003
train;Sleep Duration;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleep Duration;Linear SVM;0.588 ± 0.003;0.552 ± 0.002;0.72 ± 0.002;0.66 ± 0.003
train;Sleep Duration;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Sleep Duration;Linear SVM (Heuristic C);0.588 ± 0.003;0.534 ± 0.003;0.735 ± 0.001;0.66 ± 0.003
train;Sleep Duration;Logit (Heuristic C);0.588 ± 0.003;0.535 ± 0.004;0.734 ± 0.001;0.66 ± 0.003
train;Sleep Duration;Stacked;0.6 ± 0.003;0.537 ± 0.004;0.74 ± 0.001;0.67 ± 0.003
train;Snoring;Extra Trees;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Snoring;Linear SVM;0.589 ± 0.003;0.522 ± 0.002;0.174 ± 0.012;0.435 ± 0.003
train;Snoring;Random Forest;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0;1.0 ± 0.0
train;Snoring;Linear SVM (Heuristic C);0.589 ± 0.003;0.51 ± 0.001;0.079 ± 0.009;0.435 ± 0.003
train;Snoring;Logit (Heuristic C);0.589 ± 0.003;0.511 ± 0.001;0.092 ± 0.009;0.435 ± 0.003
train;Snoring;Stacked;0.611 ± 0.003;0.52 ± 0.002;0.143 ± 0.011;0.453 ± 0.003
